Data,Descrição,Valor,Estabelecimento
15/04/2024,UBER TRIP,25.90,Uber
15/04/2024,IFOOD PEDIDO,48.00,iFood
16/04/2024,NETFLIX ASSINATURA,55.90,Netflix
16/04/2024,SUPERMERCADO EXTRA,187.50,Extra Supermercados
17/04/2024,FARMACIA DROGASIL,43.00,Drogasil
17/04/2024,RESTAURANTE MADERO,89.90,Madero
18/04/2024,SPOTIFY PREMIUM,21.90,Spotify
18/04/2024,AMAZON COMPRA,156.00,Amazon
19/04/2024,POSTO IPIRANGA,220.00,Posto Ipiranga
19/04/2024,CINEMA CINEMARK,65.00,Cinemark
20/04/2024,ACADEMIA SMART FIT,99.90,Smart Fit
20/04/2024,ZARA ROUPAS 01/03,189.90,Zara
21/04/2024,UBER TRIP,18.50,Uber
21/04/2024,IFOOD PEDIDO,62.00,iFood
22/04/2024,CARREFOUR MERCADO,243.70,Carrefour
22/04/2024,DROGARIA SAO PAULO,67.00,Drogaria São Paulo
23/04/2024,GOOGLE STORAGE,4.99,Google
23/04/2024,RENNER VESTUARIO,234.00,Renner
24/04/2024,RESTAURANTE OUTBACK,178.00,Outback
25/04/2024,ALURA CURSOS,149.90,Alura
25/04/2024,UBER TRIP,32.00,Uber
26/04/2024,PAO DE ACUCAR,95.30,Pão de Açúcar
26/04/2024,AMAZON PRIME,19.90,Amazon Prime
27/04/2024,DENTISTA CONSULTA,250.00,Consultório Odontológico
27/04/2024,IFOOD PEDIDO,35.50,iFood
28/04/2024,UBER TRIP,15.90,Uber
28/04/2024,TEATRO MUNICIPAL,80.00,Teatro Municipal
29/04/2024,SUPERMERCADO EXTRA,112.40,Extra Supermercados
30/04/2024,ESTORNO UBER,-25.90,Uber
30/04/2024,FARMACIA DROGASIL,58.00,Drogasil
